x,1,2,3,4,5,6,7,8,9,10,11,12
1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.07,0.0,0.04
3,0.13,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.01,0.0,0.0
4,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.08,0.0,0.04
5,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0
6,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.05
7,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.05,0.0,0.02
8,0.09,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0
9,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.08,0.0,0.01
10,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.04
11,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.02
12,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.07,0.0,0.0
13,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0
14,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.05
15,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.05,0.0,0.02
16,0.09,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0
17,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.08,0.0,0.01
18,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.04
19,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.02
20,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.07,0.0,0.0
21,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
22,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.07,0.0,0.04
23,0.13,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.01,0.0,0.0
24,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.08,0.0,0.04
25,0.13,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.01,0.0,0.0
26,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.08,0.0,0.04
27,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0
28,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.05
29,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.05,0.0,0.02
30,0.09,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0
31,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.08,0.0,0.01
32,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.04
33,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.02
34,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.07,0.0,0.0
35,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
36,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.07,0.0,0.04
37,0.13,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.01,0.0,0.0
38,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.08,0.0,0.04
39,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0
40,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.05
41,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.05,0.0,0.02
42,0.09,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0
43,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.08,0.0,0.01
44,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.04
45,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.02
46,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.07,0.0,0.0
47,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
48,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.07,0.0,0.04
