x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06
2,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.07,0.0,0.04,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.02,0.01,0.0,0.0,0.01,0.04,0.0,0.05,0.0,0.09,0.0,0.05,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.08,0.12
3,0.13,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.02,0.0,0.03,0.0,0.01,0.07,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.12
4,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.08,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.06,0.0,0.02,0.0,0.1,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12
5,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.1,0.01,0.0,0.08,0.0,0.03,0.0,0.0,0.01,0.0,0.04,0.0,0.06,0.0,0.04,0.0,0.09,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.08
6,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.09,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.04,0.05,0.0,0.04,0.0,0.07,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.1
7,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.02,0.0,0.05,0.0,0.01,0.0,0.01,0.0,0.02,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.08,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.09,0.12
8,0.09,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.01,0.05,0.05,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.03,0.0,0.09,0.0,0.04,0.0,0.05,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.07,0.1
9,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.08,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.09,0.0,0.09,0.0,0.06,0.0,0.04,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.04,0.08
10,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.0,0.09,0.0,0.02,0.0,0.06,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.1,0.12
11,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.08,0.01,0.0,0.0,0.07,0.01,0.0,0.0,0.07,0.12
12,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.07,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.04,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.05,0.0,0.08,0.0,0.05,0.0,0.04,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.09,0.12
13,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.1,0.01,0.0,0.08,0.0,0.03,0.0,0.0,0.01,0.0,0.04,0.0,0.06,0.0,0.04,0.0,0.09,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.08
14,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.09,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.04,0.05,0.0,0.04,0.0,0.07,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.1
15,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.02,0.0,0.05,0.0,0.01,0.0,0.01,0.0,0.02,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.08,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.09,0.12
16,0.09,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.01,0.05,0.05,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.03,0.0,0.09,0.0,0.04,0.0,0.05,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.07,0.1
17,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.08,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.09,0.0,0.09,0.0,0.06,0.0,0.04,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.04,0.08
18,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.0,0.09,0.0,0.02,0.0,0.06,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.1,0.12
19,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.08,0.01,0.0,0.0,0.07,0.01,0.0,0.0,0.07,0.12
20,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.07,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.04,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.05,0.0,0.08,0.0,0.05,0.0,0.04,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.09,0.12
21,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06
22,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.07,0.0,0.04,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.02,0.01,0.0,0.0,0.01,0.04,0.0,0.05,0.0,0.09,0.0,0.05,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.08,0.12
23,0.13,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.02,0.0,0.03,0.0,0.01,0.07,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.12
24,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.08,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.06,0.0,0.02,0.0,0.1,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12
25,0.13,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.02,0.0,0.03,0.0,0.01,0.07,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.12
26,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.08,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.06,0.0,0.02,0.0,0.1,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12
