x,I 1,I 9,I 5,I 8,I 3,I 7,I 10,I 11,I 4,I 0,I 2,I 6
P 1,1,9,5,8,3,7,10,11,4,0,2,6,R 1
P 5,5,1,9,0,7,11,2,3,8,4,6,10,R 5
P 9,9,5,1,4,11,3,6,7,0,8,10,2,R 9
P 6,6,2,10,1,8,0,3,4,9,5,7,11,R 6
P 11,11,7,3,6,1,5,8,9,2,10,0,4,R 11
P 7,7,3,11,2,9,1,4,5,10,6,8,0,R 7
P 4,4,0,8,11,6,10,1,2,7,3,5,9,R 4
P 3,3,11,7,10,5,9,0,1,6,2,4,8,R 3
P 10,10,6,2,5,0,4,7,8,1,9,11,3,R 10
P 2,2,10,6,9,4,8,11,0,5,1,3,7,R 2
P 0,0,8,4,7,2,6,9,10,3,11,1,5,R 0
P 8,8,4,0,3,10,2,5,6,11,7,9,1,R 8
x,RI 1,RI 9,RI 5,RI 8,RI 3,RI 7,RI 10,RI 11,RI 4,RI 0,RI 2,RI 6
