x,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.06
2,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.07,0.0,0.02,0.08
3,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.02,0.06
4,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.09
5,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.04
6,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.08
7,0.04,0.0,0.01,0.03,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.05
8,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01
9,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
10,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.09,0.0,0.02,0.06
11,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.07
12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.0,0.0
13,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
14,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.09,0.0,0.02,0.06
15,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.07
16,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.0,0.0
17,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.06
18,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.07,0.0,0.02,0.08
19,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.02,0.06
20,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.09
21,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.04
22,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.08
23,0.04,0.0,0.01,0.03,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.05
24,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01
25,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.04
26,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.08
27,0.04,0.0,0.01,0.03,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.05
28,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01
29,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
30,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.09,0.0,0.02,0.06
31,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.07
32,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.0,0.0
33,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.06
34,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.07,0.0,0.02,0.08
35,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.02,0.06
36,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.09
37,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.04
38,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.08
39,0.04,0.0,0.01,0.03,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.05
40,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01
41,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
42,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.09,0.0,0.02,0.06
43,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.07
44,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.0,0.0
45,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.06
46,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.07,0.0,0.02,0.08
47,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.02,0.06
48,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.09
