x,1,2,3,4,5,6,7,8,9,10,11,12
1,0.1,0.06,0.09,0.06,0.0,0.12,0.11,0.07,0.07,0.12,0.05,0.15
2,0.06,0.09,0.14,0.16,0.01,0.0,0.04,0.05,0.02,0.16,0.05,0.22
3,0.05,0.04,0.09,0.12,0.07,0.04,0.12,0.03,0.1,0.12,0.06,0.16
4,0.06,0.01,0.17,0.14,0.1,0.0,0.15,0.12,0.04,0.02,0.11,0.08
5,0.13,0.04,0.18,0.01,0.12,0.03,0.04,0.05,0.15,0.15,0.0,0.1
6,0.11,0.1,0.02,0.1,0.11,0.1,0.07,0.07,0.13,0.01,0.1,0.08
7,0.03,0.11,0.11,0.1,0.09,0.09,0.1,0.07,0.03,0.09,0.0,0.18
8,0.07,0.04,0.01,0.13,0.03,0.08,0.14,0.1,0.08,0.08,0.08,0.16
9,0.01,0.12,0.06,0.02,0.2,0.07,0.04,0.11,0.04,0.07,0.16,0.1
10,0.04,0.0,0.13,0.1,0.09,0.02,0.08,0.04,0.13,0.11,0.13,0.13
11,0.1,0.11,0.04,0.09,0.05,0.07,0.1,0.09,0.11,0.06,0.03,0.15
12,0.0,0.15,0.06,0.15,0.04,0.05,0.11,0.1,0.13,0.04,0.07,0.1
