x,I 0,I 8,I 9,I 7,I 2,I 3,I 5,I 10,I 6,I 1,I 11,I 4
P 0,0,8,9,7,2,3,5,10,6,1,11,4,R 0
P 4,4,0,1,11,6,7,9,2,10,5,3,8,R 4
P 3,3,11,0,10,5,6,8,1,9,4,2,7,R 3
P 5,5,1,2,0,7,8,10,3,11,6,4,9,R 5
P 10,10,6,7,5,0,1,3,8,4,11,9,2,R 10
P 9,9,5,6,4,11,0,2,7,3,10,8,1,R 9
P 7,7,3,4,2,9,10,0,5,1,8,6,11,R 7
P 2,2,10,11,9,4,5,7,0,8,3,1,6,R 2
P 6,6,2,3,1,8,9,11,4,0,7,5,10,R 6
P 11,11,7,8,6,1,2,4,9,5,0,10,3,R 11
P 1,1,9,10,8,3,4,6,11,7,2,0,5,R 1
P 8,8,4,5,3,10,11,1,6,2,9,7,0,R 8
x,RI 0,RI 8,RI 9,RI 7,RI 2,RI 3,RI 5,RI 10,RI 6,RI 1,RI 11,RI 4
